rei,a,cf,cfc,cfcrei,epsilon,epsilonc,eta,etac,fic,ficfn,foc,g,gc,gstd,jlamc,lambc,lambda,mu,muc,nuw,nuwc,nuwta,nuwtac,reic,reoc,rho,ta,tac,tempavg,tempavgstd,tempbot,tempmid,temptop,time,torque,torquestd,dr
798321.7599208838,0.0,0.004111559355509614,0.0037293055378772,0.025833689332134768,1.7670050517735725,1.7670050517735725,3.660816329067419e-05,3.7972563257045926e-05,11.816455071307757,-11.814959061596324,0.0,2620393417.8535557,2376774075.150617,287419041.89976245,1.8851280370658703e-05,0.00013913687398642852,0.0001325113085585033,1.4694218125149867e-06,1.542892903140737e-06,315.13780779973615,300.13124552355833,0.005063975083475756,0.004822833412834053,760306.4380198892,0.0,1031.9248241357075,966150309194.4084,876326811060.6877,19.89738667722805,0.04014062993899984,19.89762242710211,19.898011994130822,19.896525610452784,59.861348242772245,19.66390991293875,2.1568948749874064,-0.6035766879568527
809423.5027995899,0.0,0.004092026354504752,0.00371158853016304,0.025710959867215902,1.834451572743772,1.834451572743772,3.6274064268314756e-05,3.762601223890476e-05,11.983827622992857,-11.981077758097033,0.0,2680993933.838556,2431740529.55878,260031525.02571064,1.91232047779643e-05,0.00013788257592179867,0.00013131673897314155,1.469793463729471e-06,1.5432831369159443e-06,318.0029022532883,302.8599069078936,0.005053859390441742,0.004813199419468327,770879.5264758001,0.0,1031.9264505521073,993208672146.7952,900869543897.3198,19.89007603713416,0.02759229789036826,19.89272863322084,19.89189977590253,19.885599702279613,59.868694227451584,20.129115665250424,1.9520820660832572,-0.38156198645618034
820525.2456782961,0.0,0.004076936452012393,0.003697901543775415,0.02561614721358914,1.914676226662769,1.914676226662769,3.593834427359534e-05,3.727777983415624e-05,12.171005165769017,-12.176035805806414,0.0,2744884947.80888,2489691562.638439,238983339.1392428,1.945837804823346e-05,0.00013651935289304574,0.0001300184313267103,1.4725504116560396e-06,1.5461779322388412e-06,321.1771470373437,305.88299717842256,0.00504896717021635,0.004808540162110811,781452.6149317104,0.0,1031.9385154805832,1020632726366.9954,925743969493.8732,19.835844937481376,0.044300747046459504,19.849102869539443,19.803689963802555,19.854741979103686,59.87351063317369,20.686589371200505,1.8005674476520417,-0.24944750240554203
831626.9885570024,0.0,0.004065659188331697,0.003687672733180678,0.025545290076125403,1.9928314858433496,1.9928314858433496,3.560288953422993e-05,3.6929822570928186e-05,12.345924643228765,-12.353605491217357,0.0,2811891488.311681,2550468470.123974,200740051.50478232,1.975428616822995e-05,0.00013507220647171887,0.00012864019663973226,1.4737748162817347e-06,1.5474635570958215e-06,324.62151594222684,309.16334851640636,0.005048544696088027,0.004808137805798121,792025.7033876212,0.0,1031.9438737080973,1048452547509.1392,950977367355.2284,19.811760039601538,0.039337543637373865,19.82487710921591,19.791778919030346,19.818624090557908,59.86789270062463,21.22615447271011,1.5150620466977769,-0.24922376395075663
842728.7314357085,0.0,0.00405684640438489,0.003679679278353642,0.02548991772151548,2.0589961362737945,2.0589961362737945,3.5271030175634244e-05,3.658559468965866e-05,12.4899158861629,-12.500026682686176,0.0,2881319498.6753955,2613441722.154554,189007462.5134508,1.995153249802332e-05,0.00013359110398256842,0.00012722962284054135,1.4713570441381088e-06,1.5449248963450144e-06,328.23894492057184,312.60851897197307,0.005050947619737776,0.004810426304512167,802598.7918435319,0.0,1031.9330467440643,1076693810338.9232,976593025250.724,19.85984866908318,0.04784351626483119,19.88244934723316,19.834286981269766,19.862809678745943,59.86130566845027,21.67715720566288,1.4220994716082378,-0.3227966286381445
853830.4743144144,0.0,0.004048626566264845,0.003672223642870608,0.025438270955412217,2.120262682389411,2.120262682389411,3.4943051574665404e-05,3.624539220330721e-05,12.621155640594852,-12.633206392400801,0.0,2951654829.105672,2677237940.231902,184858259.66739509,2.0108113688905178e-05,0.0001321182988053363,0.00012582695124317743,1.4674607324865387e-06,1.540833769110866e-06,331.89418601165187,316.08970096347787,0.005053964204458193,0.004813299242341137,813171.8802994423,0.0,1031.9154284411231,1105182311171.178,1002432935302.656,19.937710950497035,0.06625543845130429,19.98152856910692,19.88834743144401,19.94325685093999,59.86317944084007,22.090327746262933,1.383494314003217,-0.37583816617126065
864932.2171931206,0.0,0.004044987671583858,0.003668923058125947,0.02541540710581825,2.1882060502173344,2.1882060502173344,3.461421013934801e-05,3.5904294724447674e-05,12.758223359723866,-12.770421569071093,0.0,3026216106.416706,2744867216.7044945,173436771.45670092,2.0283605481135348e-05,0.00013054200560286408,0.00012432571962177528,1.4643648702424369e-06,1.5375831137545591e-06,335.9070603683496,319.9114860650948,0.005062479114540167,0.0048214086805144435,823744.968755353,0.0,1031.8914309407837,1134122373233.0698,1028682424701.197,20.021063903049487,0.05138019084625987,20.058860614315677,19.9703626376268,20.03396845720621,59.87021348065289,22.552349651403443,1.2924250685967125,-0.5072714867490946
876033.9600718268,0.0,0.0040452568231877295,0.0036691671865648327,0.025417098235221102,2.266517907293389,2.266517907293389,3.4284269305266414e-05,3.556205687181994e-05,12.908023560028322,-12.919703226763055,0.0,3104627437.922019,2815988605.82496,172925323.29407436,2.049959243303008e-05,0.0001288824644391815,0.00012274520422779188,1.4627705396214026e-06,1.5359090666024726e-06,340.2422606069128,324.04024819705984,0.005075749395763054,0.0048340470435838615,834318.0572112636,0.0,1031.879322219534,1163423298757.1135,1055259227897.6084,20.06345306250998,0.04912115063162281,20.094609318413077,20.006215852497547,20.089534016620167,59.877938658902714,23.087108243977926,1.2858450402415431,-0.7838382093659391
887135.702950533,0.0,0.00404499586339149,0.0036689304883369524,0.02541545857646362,2.3506363952939413,2.3506363952939413,3.3962808089137195e-05,3.522861467568377e-05,13.066176527858017,-13.077298747249156,0.0,3183623404.705842,2887640276.377181,183484744.027014,2.074205339837078e-05,0.00012728291704393994,0.00012122182575613328,1.4621654371559638e-06,1.535273709013762e-06,344.5318968046273,328.1256160044069,0.00508821966682445,0.004845923492213761,844891.1456671742,0.0,1031.8783665097044,1193102279434.3162,1082178938262.418,20.07171912942018,0.043832129644987415,20.087662509700678,20.029928600257968,20.09756627830296,59.87767690111848,23.65439664320953,1.3632699487233395,-1.0425407331736913
898237.4458292392,0.0,0.0040412535412419365,0.0036655360918294213,0.0253919448729188,2.43708044762536,2.43708044762536,3.36551509129532e-05,3.490949100123526e-05,13.228905918170565,-13.240536662864466,0.0,3260733554.2144976,2957581455.069839,206841543.8974373,2.099903641476197e-05,0.00012582927502801001,0.00011983740478858091,1.4620775098758543e-06,1.5351813853696471e-06,348.5207068978151,331.92448275982395,0.005096178528448098,0.004853503360426758,855464.2341230848,0.0,1031.8810985121868,1223131618186.059,1109416433728.8516,20.066750928938962,0.04562884045435106,20.06206852894291,20.050561030676814,20.087623227197376,59.862681128359526,24.223845597221324,1.536463706265994,-1.2070528915035128
909339.1887079452,0.0,0.004044182256083226,0.003668192522524467,0.025410346530978505,2.530408454324868,2.530408454324868,3.3339490687749094e-05,3.458206600113017e-05,13.393095260780115,-13.404444918962955,0.0,3344137169.0747275,3033230992.358029,238851424.7020093,2.1260718091276068e-05,0.00012419307216911433,0.00011827911635153745,1.4621498387191838e-06,1.5352573306551429e-06,353.0837945610064,336.27028053429177,0.005112429893388273,0.004868980850845975,866037.3225789955,0.0,1031.8822297781207,1253509991099.765,1136970513469.1743,20.063577340184466,0.034293530934949225,20.035913500402685,20.099434618475435,20.05538390167539,59.874910196127956,24.845231757056407,1.7746921812229508,-1.522909141807527
920440.9315866514,0.0,0.0040378674570394285,0.0036624648136412046,0.02537066947840874,2.626446609096113,2.626446609096113,3.30502054709743e-05,3.428199901590375e-05,13.567365707817615,-13.578967030764757,0.0,3420963273.098367,3102914533.422554,657809830.739043,2.1554458376214983e-05,0.00012287805061567478,0.0001170267148720712,1.4633091499708724e-06,1.5364746074694158e-06,356.83512503791087,339.84297622658175,0.005116840871258645,0.004873181782151089,876610.4110349059,0.0,1031.8933781780208,1284321751299.785,1164917688253.7727,20.02771799389617,0.0317951725964331,20.01917062250104,20.02448783069329,20.03949552849605,59.87064162962765,25.456583841807145,4.895621404847377,-1.5772225735721568
