time,torque,temptop,tempmid,tempbot,fic,icangle,balance,mass,dm,alpha,torquenorm,alpha100
736.2750000000001,32.08840438588446,2545.6525423728813,2578.6186440677966,2490.1228813559323,-17.087169491525422,-736780020.5530149,7130.593220338983,15296.593220338984,-0.288516949152543,0.8025532819685157,0.8825166401232988,80.25532819685156
731.5050000000001,32.064369900901156,2550.485477178423,2578.50622406639,2488.4979253112033,-17.077039419087136,-736750686.5929823,7267.375518672199,15433.3755186722,-0.2963070539419081,0.8035448442433544,0.881855627731424,80.35448442433544
726.7850000000001,32.07727082966027,2551.65367965368,2584.121212121212,2493.3939393939395,-17.07406493506492,-736721673.5641428,7405.893939393939,15571.89393939394,-0.28969696969697,0.8045502304639216,0.8822104376548484,80.45502304639216
722.02,32.03578142881744,2552.600814663951,2585.725050916497,2495.2525458248474,-17.08394093686355,-736692372.3931111,7546.486761710794,15712.486761710794,-0.2881670061099792,0.8055719755243282,0.8810693685573567,80.55719755243283
717.2050000000002,32.0504388528621,2553.3474576271187,2591.665254237288,2495.580508474576,-17.08869915254237,-736662758.4909089,7686.275423728814,15852.275423728814,-0.28474576271186364,0.8065891497824014,0.8814724867824079,80.65891497824013
712.5400000000001,32.017062501153745,2557.2603036876358,2590.6919739696314,2497.5813449023863,-17.086739696312346,-736634061.7061069,7818.483731019523,15984.483731019523,-0.2994360086767915,0.8075523455829577,0.8805545481583799,80.75523455829577
707.8249999999999,32.0314966631183,2562.609958506224,2591.97510373444,2497.9834024896268,-17.07977593360997,-736605063.0124067,7955.531120331951,16121.53112033195,-0.2780497925311212,0.8085520173638032,0.8809515260812072,80.85520173638032
703.0099999999999,32.00748071182545,2562.4386694386694,2597.3700623700624,2498.5218295218297,-17.079954261954253,-736575458.8110453,8091.288981288982,16257.28898128898,-0.28638253638253636,0.8095435041849554,0.8802910234152146,80.95435041849554
698.145,31.9837056890605,2560.808943089431,2604.609756097561,2498.6869918699185,-17.080160569105697,-736545546.6850406,8230.957317073171,16396.95731707317,-0.2838617886178822,0.8105648136699367,0.8796371469258429,81.05648136699367
693.3699999999999,31.98909188784848,2561.6997840172785,2604.5161987041038,2498.6976241900647,-17.08294384449244,-736516182.8309672,8368.233261339094,16534.233261339094,-0.29326133909287794,0.8115698875186623,0.8797852817473891,81.15698875186624
