rei,a,cf,epsilon,eta,fic,ficfn,foc,g,gstd,lambda,mu,nuw,nuwta,rho,ta,tempavg,tempavgstd,tempbot,tempmid,temptop,time,torque,torquestd
518223.3432939454,0.0,0.004401935604538408,0.5136778713433362,4.9766040441834876e-05,7.6511102062120395,-7.6622756638824185,0.0,1182255635.0252655,132991060.27274428,0.0001906697766938633,1.4656863307745578e-06,219.01477278686306,0.004972707981696543,1031.8996886180794,407154282140.4924,19.989751834652935,0.03058598432305229,20.01571637610382,19.981749161450207,19.971789966403794,59.86167748967264,8.82659810507929,0.9926561981647833
529035.5787925888,0.0,0.004386630104366333,0.5469336555583482,4.904294319872479e-05,7.822252628423647,-7.83393135344285,0.0,1227786474.0326922,122434823.38886714,0.00018741921157510482,1.4678570353328571e-06,222.80740767889145,0.004975940336851138,1031.9164758699455,424308017132.3115,19.93139143305006,0.036173630038702685,19.942311991239695,19.942847309067655,19.909014998842178,59.86409329330623,9.193515106579271,0.9167938277454839
539847.814291232,0.0,0.004368911078055941,0.5805705263191473,4.835193426998895e-05,7.990543483637896,-8.001932192121382,0.0,1273285903.0246942,113343641.57644846,0.00018440346040747232,1.4694085640443877e-06,226.44475929834323,0.004975961644927119,1031.9247661578809,441808480386.9233,19.897647283938248,0.042000429941661276,19.928864689664085,19.892978616279688,19.871098545870478,59.86972902045195,9.554384784139474,0.8504926986194721
550660.0497898753,0.0,0.004347949073004194,0.6120873028209001,4.7697399698253655e-05,8.14528159203549,-8.157396842461491,0.0,1318485223.038904,123835599.14303882,0.00018166391423604273,1.4684589277269152e-06,229.86788481728846,0.004971722863437889,1031.918412581808,459713082662.887,19.92105020817232,0.04258741799073828,19.96565187447176,19.89703324809267,19.900465501950134,59.870000000000005,9.880602588433185,0.9279702571570336
561472.2852885185,0.0,0.004328637886743854,0.6443702177658354,4.706042706894205e-05,8.298051400144237,-8.310695495202582,0.0,1364723060.2589052,121438099.82255846,0.00017896700342458815,1.4671955221754586e-06,233.33890283533592,0.004968904848317131,1031.90941490315,477963609039.71533,19.953356471576786,0.04150019754607807,20.0020948672879,19.92135857490241,19.936615972539872,59.86968523861115,10.209354523114266,0.9083498390018789
572284.5207871619,0.0,0.0043119492925399435,0.6788151211435108,4.643558398640269e-05,8.45430478318226,-8.467711213146545,0.0,1412294356.8321457,115918632.3682547,0.00017625920873037533,1.4665663127651793e-06,236.91795296293142,0.004968694075867825,1031.9028145159834,496527987008.7981,19.974000104761128,0.035983575656573584,20.01749795155259,19.94769458537387,19.956807777356218,59.86250730619066,10.556525300741724,0.8662253839629163
583096.7562858053,0.0,0.004296353300663405,0.715983204618342,4.582931329142566e-05,8.616354699345711,-8.629760716811608,0.0,1460855843.0192041,112169744.5762353,0.00017361667580464082,1.4669647973037655e-06,240.52264533997013,0.004969303588483778,1031.9039818047295,515458147445.61017,19.967400617144378,0.023831538222308057,19.995235347190928,19.95791950203997,19.949047002199823,59.86053676211733,10.92545704895685,0.8388817886076594
593908.9917844485,0.0,0.004285223657906344,0.7549285873451875,4.5230696271089266e-05,8.777639161638595,-8.791430955758377,0.0,1511581032.80132,112898855.51994014,0.0001708947290792523,1.4672186482491054e-06,244.3489876449017,0.004974691703463929,1031.9059335948305,534737222178.3381,19.96060016884661,0.021207339397233443,19.984799075318918,19.952764205564065,19.94423722565448,59.86342769741159,11.308714640481194,0.8446751471845976
604721.2272830917,0.0,0.004270928602114206,0.7937158748066625,4.46607433866412e-05,8.93530897986367,-8.949154863578395,0.0,1561907200.6528711,106471449.81778066,0.00016840405369021244,1.4668694264632232e-06,247.96580145211024,0.004976003118255827,1031.9056200882255,554397250959.3683,19.96485917243014,0.024872242883176705,19.991504174696665,19.945939874127486,19.957133468464203,59.859887176896756,11.67958266639503,0.7960990282797672
615533.462781735,0.0,0.004256769197896463,0.8329260215339929,4.410874221041234e-05,9.089964039011386,-9.103741073859679,0.0,1612935495.5223541,105679584.68121131,0.0001660017253821844,1.4660529199349558e-06,251.5608869957364,0.004977093532194816,1031.9033946945872,574421824282.01,19.9780241000143,0.029290693077926654,20.00859866585863,19.95112186741731,19.974351766766663,59.852902396526,12.04745314664732,0.7893529787340983
626345.6982803784,0.0,0.004243484397494741,0.872846402532906,4.356996000374876e-05,9.24273723161801,-9.256454978782115,0.0,1664872634.3040037,109833217.02494486,0.00016364440020310731,1.46496276947653e-06,255.18216557476998,0.004978882782063574,1031.899963763066,594768556566.627,19.996589030154734,0.032071076705575234,20.028817451854753,19.968916896513843,19.992032742095997,59.85568635460307,12.416714016339157,0.8191335852213646
637157.9337790217,0.0,0.004230843919107362,0.9136012161874035,4.3044174322406665e-05,9.394302007684194,-9.408043395315994,0.0,1717624169.8322115,116656972.28785817,0.0001613369237500784,1.4637096359519826e-06,258.81747389386913,0.004981118382769409,1031.8953554669267,615430367062.2225,20.019357316859256,0.03276143195066407,20.050260445306893,19.99443576501314,20.013375740256734,59.85982999085326,12.788419077098405,0.8685695093489673
647970.169277665,0.0,0.004219121063174603,0.9567756658885619,4.25351759338487e-05,9.548486194076348,-9.561884635292552,0.0,1771548968.6088774,112615841.59093456,0.00015909240909949481,1.4629098451256135e-06,262.47809800920135,0.0049840344192172824,1031.88920026899,636525356465.808,20.04079554484163,0.02651125796586215,20.06712971596578,20.020671606484694,20.034585312073748,59.86000309621139,13.17534991613725,0.8375621091250273
658782.4047763082,0.0,0.004207374989941832,1.0022802477069968,4.204059423837456e-05,9.706262049526556,-9.719367529855177,0.0,1826100711.9996595,115183903.16461612,0.00015692217049212426,1.4626725710271748e-06,266.11348217566115,0.004986618439313543,1031.8872565807176,657965146093.711,20.047408396062654,0.03174170063152872,20.069736559343017,20.035406260117952,20.03708236872786,59.85785346022351,13.576735947043863,0.8563703868586806
669594.6402749515,0.0,0.004197156829229521,1.0509652730525827,4.1555390054846655e-05,9.868910699085424,-9.881742096102515,0.0,1881952673.6185246,122536991.95703225,0.0001547629929515935,1.4631631820902146e-06,269.8256984586315,0.004990740803104402,1031.8901575521784,679732415518.6017,20.036137508787036,0.03870265289286246,20.05322389477989,20.033619414689934,20.021569216892683,59.85842382069032,14.001628132895632,0.9117118059457158
680406.8757735948,0.0,0.004188152756895851,1.1035785124622013,4.1080295505631656e-05,10.038307290984216,-10.050837219543295,0.0,1939001280.3138313,137205366.43911824,0.00015262644725782146,1.4646231038843187e-06,273.5955611484209,0.0049960318665792135,1031.8981918614893,701837671541.1621,20.00388392770277,0.04045439775350806,20.013302595445104,20.010157467438905,19.98819172022448,59.86321033072456,14.455216836186855,1.0230406308019762
691219.1112722381,0.0,0.004178887154615199,1.160226622144665,4.061933174541758e-05,10.215011687830222,-10.227110796739082,0.0,1996647673.97238,169116481.8781623,0.00015056909770659816,1.4670965147248956e-06,277.3284564674639,0.005000731312761834,1031.911894091331,724304958337.3042,19.949045308727474,0.03233323146142137,19.950923509683417,19.962008378938403,19.93420403755943,59.87931919008522,14.935297076651532,1.265097985825564
702031.3467708814,0.0,0.0041681840786119626,1.2155342425976257,4.0175131881229056e-05,10.3836644638055,-10.395600379111347,0.0,2054348155.6214626,212462768.05986616,0.00014863193502465133,1.4683554227017783e-06,280.9459565672771,0.005003432096016079,1031.9178886637621,747145384370.4056,19.923238714183537,0.032817087442998445,19.93831787484316,19.926165419265327,19.90523284844224,59.86627688960515,15.393179266193627,1.5920402921568544
712843.5822695247,0.0,0.0041608002691158625,1.2688901991751242,3.973542496838236e-05,10.539520485710057,-10.551764357457493,0.0,2114393037.3349483,214238094.84594974,0.00014664009475903855,1.4677935069614958e-06,284.76629047145303,0.005009845536665783,1031.9159923508262,770354519731.077,19.933082702590955,0.04003735529683601,19.961437063595657,19.92298679251877,19.91482425165792,59.858856669084254,15.830773840267538,1.6039773216028161
723655.8177681679,0.0,0.00414988308395197,1.320961070861385,3.9315813018530854e-05,10.690978389449498,-10.703365550349497,0.0,2173324550.1467676,218867173.55049166,0.0001448322310068869,1.4666449827293083e-06,288.32430605362646,0.005011746250902632,1031.9099178221225,793923756149.9183,19.957927860058383,0.03760960406191285,19.983778981558533,19.94221961852401,19.94778498009207,59.86043459928241,16.246270416289835,1.636113205827893
734468.0532668113,0.0,0.004141624255843594,1.3768632788165653,3.889961815688789e-05,10.846893543455245,-10.859352336792837,0.0,2234305427.354033,232708267.2143991,0.00014298224874402095,1.466118579605184e-06,292.0547051517581,0.005016659105729582,1031.9055296887516,817800539087.6162,19.972762029042393,0.03550379030327666,19.993929077832398,19.957149589116117,19.96720742017918,59.865083522212615,16.69055646358091,1.738509039071919
745280.2887654545,0.0,0.0041381693596895626,1.4365571362592684,3.848345397927089e-05,11.004706586675132,-11.01715032187945,0.0,2298610993.77816,267832132.14165893,0.00014102411583001922,1.4658784454360986e-06,296.10488392317524,0.005027141281962602,1031.9014435067681,842051487517.5562,19.984008333185248,0.02574620412576098,19.998328003133455,19.973121448274824,19.980575548148877,59.86634911809744,17.164941407087678,2.000108279598796
756092.5242640979,0.0,0.004127602065782078,1.4933294083418203,3.809380550093124e-05,11.157504253248787,-11.17015804291207,0.0,2359700460.78707,347693671.7027445,0.00013936057916649874,1.4649722521375707e-06,299.63367837957253,0.005028778055161011,1031.898968794513,866642642706.754,19.998629803588724,0.034724317749229704,20.015650970604156,19.985228386896434,19.99501005326285,59.86298736278581,17.599503089511153,2.593404606559345
766904.7597627412,0.0,0.004119478605316288,1.5522645784817606,3.771000034791799e-05,11.309439777399007,-11.320605176699942,0.0,2422993323.647742,547157146.7865142,0.00013767288782502794,1.463992481129124e-06,303.319511416847,0.00503313213907896,1031.894260661953,891647859074.2242,20.01880614762085,0.02937787840534971,20.032843452532664,20.00557979351717,20.017995196810574,59.86387032716211,18.046971927174138,4.074823510697057
777716.9952613844,0.0,0.004109656534614148,1.6127099776409863,3.733805838400272e-05,11.46361758387149,-11.473392199659557,0.0,2485801234.0318093,704722893.1532556,0.00013608125426406065,1.4633136361158052e-06,306.8610271148844,0.005035210932770596,1031.8913245950728,916955804279.4858,20.032084962786374,0.022553373614154663,20.042176418616435,20.021826406274226,20.03225206346794,59.85992690154065,18.49779464541416,5.244346358164364
788529.2307600278,0.0,0.004097672264329896,1.675855999494739,3.6979657340182076e-05,11.622930359853529,-11.631604001503158,0.0,2547900506.202804,714658215.7048771,0.00013460421775180072,1.4633045636616525e-06,310.2220228575496,0.005034430225393078,1031.8927601236278,942598661095.8828,20.029093241046308,0.017634492039261845,20.030569555833242,20.027502162222582,20.029208005082115,59.85520582813621,18.959700410678455,5.317897026382616
799341.466258671,0.0,0.004085759282565804,1.7412739037223013,3.663008799654545e-05,11.783856461231169,-11.789841247269138,0.0,2610610782.756111,445320564.275842,0.00013316842330713384,1.4634977217399622e-06,313.5626713616226,0.005033496407906463,1031.8927589318857,968606998369.5498,20.027112738361044,0.015771205290000822,20.02754511379868,20.0249065772289,20.028886524054336,59.86528682009027,19.43145665218381,3.314364631980071
810153.7017573144,0.0,0.004075866061345212,1.8090671057796197,3.628572665350899e-05,11.944088522760124,-11.944184048555906,0.0,2675298273.2518764,373670319.813952,0.0001317148356236485,1.4636009489907517e-06,317.03296322282813,0.005034798648989604,1031.892207117986,995026901145.5474,20.02723876727536,0.01593045470597201,20.028116394429546,20.025196384051643,20.02840352334393,59.85832402015139,19.9156935874498,2.7816497584243898
820965.9372559576,0.0,0.004066506402151389,1.8776384522948104,3.594738140419891e-05,12.102413614806101,-12.105440283747404,0.0,2740868539.3797936,324565554.73881465,0.00013027926270406747,1.4634715311166924e-06,320.5257932442719,0.0050365719106008735,1031.89025928995,1021764286905.3004,20.032753205176956,0.01720016829664325,20.035857826497594,20.030561238546017,20.031840550486976,59.86151665627142,20.400128697655422,2.4157384425699395
831778.1727546009,0.0,0.004055440726490018,1.9460493721227632,3.56204258740682e-05,12.258856835808524,-12.268545652374513,0.0,2805856088.128384,291914984.081625,0.0001289356121934766,1.463119364037356e-06,323.8631308986647,0.005036029776452997,1031.8868768218945,1048847248635.4038,20.043637459984666,0.018547797294830682,20.04710965031671,20.038867467216594,20.04493526242109,59.86559161790087,20.87375482233117,2.1717800867732193
842590.4082532442,0.0,0.004043784440299593,2.0150276103011087,3.530210118681017e-05,12.41404984444081,-12.428196200696268,0.0,2870984918.3716407,280129645.2603046,0.00012764635948358854,1.4626300002695494e-06,327.13181263055134,0.005034554651678064,1031.8828566186928,1076274712493.0543,20.057300703448945,0.014977405030908691,20.055940832476292,20.049861413856533,20.066099864014443,59.869230088649736,21.34390736671939,2.0827962638595765
