t0,a0,t5,a5,t10,a10,t20,a20,t30,a30,t40,a40,t50,a50,t60,a60,t65,a65,t70,a70,t75,a75,t80,a80,t90,a90,t100,a100
1913607178569.6292,0.0051585911600354455,1097670028007.2943,0.005127865015468807,704618425838.7871,0.005100433844462627,426237749548.60706,0.0050226850800943355,280005301627.8487,0.004937370390778294,166965714417.36908,0.004851738229556644,91632439449.18358,0.0047309595450196135,58401789857.69185,0.004625931624909904,45217799824.08935,0.00460034900522012,2730244839564.711,0.004494190231587262,2207154822813.7905,0.004433814921979248,1904496846978.8857,0.004336037255085268,1134458721461.5989,0.004285497544992442,918431050657.7367,0.004204210344870016
1983029273863.4897,0.00513837208671856,1137292013816.4836,0.005104476563878727,730353837276.2935,0.005097650255671947,441685275626.78735,0.005015078702855364,290104469236.3982,0.004953745580787366,173074777150.25357,0.004852059855241488,94959619819.60217,0.004726768994483278,60529830244.2786,0.0046159087479345365,46852727670.61823,0.00458738659519477,2829618174196.7344,0.004495876684830187,2287531582065.15,0.004438046592859912,1973507825238.787,0.004360303758248755,1175779495483.8328,0.004279223252760605,951815946107.9097,0.0041830698970759805
2053742355339.163,0.005191372557643305,1177905694195.2388,0.005155412459364203,756367647694.342,0.0051193656123481555,457366100533.20233,0.005027855413259923,300513401942.46234,0.004945079534630392,179259951271.00565,0.004851766752084195,98352920025.92033,0.004729188354302489,62691419055.07219,0.004608176467079402,48525862898.88536,0.004572361598308258,2930723273098.583,0.004515869948175062,2369141196830.4575,0.0044444512554276125,2043666746706.383,0.004409955874384347,1217753687204.2659,0.00431579541848642,985784393309.7815,0.004226705560849608
2125456755395.042,0.005174494663215373,1219527026527.3835,0.005165360614342173,782686316943.2749,0.005109857428420971,473421736499.5808,0.005053192374361215,310987150615.43665,0.004962696249633346,185533293189.7178,0.004852413052509391,101774638873.6326,0.004728140854734601,64876645457.83759,0.004615663110814046,50229437886.208115,0.0045696752175846045,3032895970314.981,0.004521903049189753,2451821753017.1157,0.004471164983329593,2115778853240.8843,0.00437214548039498,1260498575005.5935,0.004311770826591106,1020392287836.7529,0.004206319182768458
2198929015817.247,0.005172258639656735,1261920884237.5027,0.00513835474896754,809451851159.2438,0.00511567325740328,489778605105.7527,0.00503152882602951,321789523940.40533,0.004946375946397383,191969485246.93118,0.0048546818260387006,105310894016.00989,0.004726278840457812,67130481879.38989,0.004590743085017384,51969139272.79275,0.004557139217284019,3137767582170.1836,0.004514653195651571,2536134460855.9185,0.004445783180857431,2188409266666.3748,0.00438189239667305,1303960862067.518,0.004306314560532939,1055737932871.3146,0.004220634598523109
2274171035103.072,0.005174466101692969,1304730348932.6519,0.00514601380718783,837203786399.5646,0.005114772796593726,506450717685.24036,0.00502994143893646,332793920009.2423,0.004951679635372212,198538439983.20688,0.004848631441465194,108907606080.91461,0.004725230783673218,69421203055.7392,0.004590200291614027,53740961250.67232,0.004540370270443059,3245318402898.2593,0.0045262603813722956,2622116143604.8945,0.004476567508940608,2263104806197.3945,0.004432498834306224,1348305926162.7476,0.004326105722883493,1091438511225.6449,0.00421287787947129
2349632468463.359,0.00517123565848331,1347690482244.295,0.005156020663784521,865214187333.9248,0.0051119780512206585,523253665310.6454,0.00503134413954747,343816767905.5315,0.0049506399346093445,205100935162.682,0.004845388319124024,112505433815.81287,0.0047151953940326495,71719478007.82101,0.004577984983177403,55518662044.17287,0.004529390362358989,3352471157364.524,0.0045219608345169375,2708996645011.8,0.004486231261532048,2338570668896.958,0.004399285904305656,1392878715483.1138,0.004317088476764522,1127374680863.8726,0.004234943261942157
2426268341528.7427,0.005171684080234893,1392102030377.9102,0.00515253361176142,893511114995.8225,0.005113447146497606,540357377265.82855,0.005023408266268565,355077704809.98816,0.0049484279495564006,211802369060.58514,0.004849591385483316,116200145769.34042,0.0047113372376551945,74079245707.20549,0.004572740087357256,57334901301.899055,0.004514375719409187,3462226881414.697,0.004545011304403363,2798057721057.4326,0.0044786130680178286,2414956074849.6216,0.004406594921531508,1438587102161.0122,0.00431672416976097,1164586586237.4268,0.004215972047314937
2504864293830.5645,0.005166074875356397,1436985840961.3152,0.005155905267520549,922436987514.1407,0.005116543311718431,557747727333.0657,0.0050204150290565925,366520317135.32056,0.004950137069140689,218673768002.85754,0.004848109478011516,119942261677.86685,0.004716785832022611,76469288161.16084,0.004564246550628909,59187349580.22814,0.0045071761523043105,3574377900741.353,0.004532188422222806,2888682019099.67,0.004485803577718032,2492708442490.213,0.004405695632189055,1485501917484.4934,0.004331160174114288,1202217069379.4138,0.004218667429164676
2585104096637.347,0.005169230187237558,1482297540133.9287,0.005156136746401533,951740376104.6542,0.00510872754042129,575518370212.9824,0.005023258567997714,378134892714.9687,0.004955822390681841,225607257649.31335,0.004842297760561057,123719639467.81,0.004701397870171973,78902467597.1699,0.004553308876631056,61070125577.34181,0.004493755335840181,3687415794568.323,0.0045458873725046246,2979898578819.5303,0.004490446294966525,2571687902741.607,0.004414924794928358,1532371462828.2969,0.004332717827550834,1240509918811.4568,0.004224194297963891
2665492417733.83,0.005161492743877832,1528421575502.562,0.005161730138343336,981382608987.6537,0.005103792599912181,593695269108.1724,0.005024651597971143,389882251519.33716,0.004948463959802282,232643310672.63596,0.004833519615594458,127625677738.02187,0.004696235514989889,81349934432.30354,0.0045535240676684765,62990709702.25956,0.004484740274724836,3802515300195.5347,0.0045412426300373504,3073307831534.8477,0.004491635804925237,2652187518797.8647,0.004423696785619413,1579894681267.6382,0.004323726407393146,1279407919571.259,0.004225612558042703
2746624511052.006,0.005167882485238262,1575697082889.7192,0.005164740214023113,1011636797441.9535,0.005111026742880765,611844805215.4556,0.005028458038314298,401876185259.9782,0.004960428087182476,239785643812.1059,0.004852258099498297,131543104983.06549,0.004709853281001674,83852151731.60127,0.004559026966454569,64913930600.07865,0.004486389775862734,3920306253154.7227,0.004554119052228334,3167946551371.5605,0.004504933640812016,2733479172957.37,0.004416824339449571,1628509049326.419,0.004326822343205997,1318657239918.4294,0.004219268754388454
2829962177191.056,0.0051777877329695085,1623712907880.1594,0.005167938290829437,1042280644460.4409,0.005112066563904968,630328521981.9119,0.005033802996102349,414120793000.55176,0.0049553124827789365,247012910052.38596,0.004835566573826986,135550399965.1243,0.004695261681505038,86398665583.73445,0.00454787592294768,66880540907.59286,0.004469802972566611,4039406228637.5303,0.004563575676053065,3263590168336.0605,0.004526571657265315,2816813020422.2495,0.004442653760085504,1677926933789.6526,0.004356492013836197,1358544194508.4434,0.0042380418311502984
2914158266779.2275,0.005185554933508283,1671789279998.7085,0.0051718331653058894,1073200544276.052,0.005108579969323632,649041785386.0447,0.005027543595475225,426529217782.9379,0.004948916342529552,254394929211.43283,0.004840040897546603,139586906707.80914,0.004691348198194908,88981169289.91467,0.004549562845381049,68882718808.73006,0.0044672248954164,4159541079320.7056,0.00456127981279444,3360529098647.785,0.004535227902105296,2900816878811.654,0.004441400792164286,1727839853777.5474,0.004352169804686264,1399254172042.7893,0.00423460784016629
2999899370434.7646,0.005183846895328198,1721293186286.6807,0.005174492983678705,1104802424614.26,0.005106906207624378,668090616596.0878,0.00502011998994319,439072209053.39307,0.004956057322149062,261862135483.0402,0.0048349202385508305,143685530641.32156,0.004688762329094642,91601906945.02379,0.004547407169687192,70899228114.20802,0.004461717720750151,4281537329319.4727,0.004562572076130629,3460136849037.164,0.004541417039758294,2985798340289.222,0.004456155666426388,1778888923147.338,0.004354652625467651,1440433145812.25,0.004240677869522744
3086987480475.116,0.005183430750661689,1771559022079.8613,0.005167397317226395,1136781505908.1023,0.0051111795736499205,687628518097.5704,0.005021915859168097,451788525883.86816,0.004944908702321585,269460795514.91638,0.00483482239863589,147831174544.85254,0.004698175314971549,94249976552.32936,0.004545427157645777,72950512549.6307,0.004468492647029176,4405012591564.934,0.004567502873814592,3560853150867.607,0.00453727770501256,3072646370439.899,0.004460625702568455,1830504134597.9297,0.004359506622663263,1482116357646.308,0.004249905602976206
3175486971712.2266,0.005186586201139259,1821783289772.5625,0.005168505674346552,1169299812585.3923,0.005100668979064639,707186389057.2424,0.005014643596860611,464720986990.76855,0.004952821087418842,277217200334.36035,0.004834578793663497,152073785632.042,0.004690917744546152,96927872403.29346,0.004553332963812395,75038630808.94894,0.004457135114832693,4530788525395.977,0.004579469656720458,3662971181087.414,0.0045391190458381496,3160524551948.087,0.004467530795467104,1882834487889.7715,0.004366299136345956,1524559569416.4304,0.00424461614275838
3265583033511.2466,0.005184928639389699,1872777794984.4587,0.0051612715644224665,1202185934224.5698,0.005095549325590056,727165300536.397,0.005015419193716396,477719001863.3054,0.004938565104027196,285044384695.11676,0.004825683578270619,156358027358.37167,0.004696125438155485,99677260056.4951,0.004551122945709672,77148759527.70953,0.004474071824903272,4659326972296.33,0.0045775536815426884,3765642370769.656,0.0045366651431255085,3249385876326.4185,0.004461593484754975,1936025987009.7983,0.004364047548186166,1567388862431.622,0.004236270518178611
3355444035564.182,0.005181258786291652,1924517455544.3408,0.005165710292565729,1235641906684.9348,0.005093866099478794,747463832410.3804,0.005016158681580634,490895753272.55414,0.004938415395241227,292882201627.12006,0.00481722141630138,160674972107.88165,0.004686258264457622,102446782497.79364,0.004559480890595643,79305011906.99518,0.004466413346766054,4789088775392.133,0.0045751792877632026,3869655796149.7837,0.004545338675414639,3339295413987.0073,0.004470397523677589,1989404161255.63,0.004365189941512784,1610575116102.379,0.004242731333937695
3447423797493.444,0.005177581172072428,1977506629189.894,0.005160352959780378,1269522279051.619,0.005098249633355705,767851165593.4489,0.005000460546692205,504421194013.8849,0.004929681032704887,300912769107.7318,0.004824720556662699,165098316640.3837,0.004685526311067693,105252189727.72382,0.0045494959397195545,81486418453.2236,0.00446705189068774,4920305672526.323,0.004566113386713496,3974779154865.595,0.0045565061245399835,3430749723552.491,0.004471057544972784,2044334405858.529,0.004372335288445105,1655084191788.2053,0.0042490146771706995
3541502405144.2617,0.005174305777863486,2031189184883.9343,0.005151869798876354,1303812536175.64,0.005077702128814791,788470394270.4515,0.00498923838369146,518148896743.2124,0.004918027726600135,309073509210.674,0.004809075121874651,169582144997.83517,0.00468464255440552,108078983701.45755,0.004559251818289989,83682326343.18849,0.004461360712251343,5052645533600.252,0.004565346151097262,4083253441202.106,0.004562240192209946,3523853159424.6304,0.004471811569691116,2099890605536.9438,0.004377617343560307,1699900944873.4854,0.004249145649122271
3636365278102.645,0.005176409127123186,2085107179694.8906,0.0051590774375173286,1338376181560.285,0.005073552026223569,809380078230.1631,0.004986175879611866,532000568481.29803,0.004919641954576561,317264109125.6036,0.004801131023766539,174085283142.95557,0.004697421857763626,110959615497.36433,0.004562374010941483,85894540958.81021,0.004460175077604192,5187009420201.599,0.00456368260625637,4192567746508.4355,0.004550616685802179,3617598951551.0405,0.0044865207913707345,2155095473213.755,0.0043716668239329615,1744733206418.8123,0.00424607684605977
3731696877226.3965,0.005160646071147537,2139857817720.7546,0.005153003714835438,1373451604963.9438,0.005087140845196719,830812903594.937,0.005033150372367585,546010157174.8475,0.004939347200824572,325634873473.898,0.004839383762682605,178650382005.31,0.00469475922583996,113892960890.57881,0.0045643149796915725,88144212091.73566,0.004471916255063233,5323951003025.243,0.004579079508700383,4302625907265.4575,0.004560321849399794,3713406318845.232,0.0044894044325157435,2212291100112.1973,0.004381158563753748,1790501734597.3342,0.004247654737673967
3827695386843.041,0.005149665920322103,2195628461318.237,0.005156596341915537,1409236811111.1233,0.0051162546747869015,852494099307.1808,0.005027549045101934,560168448590.3881,0.0049399546375720246,334071742862.1894,0.004821252129505226,183316011296.54593,0.004680444565274517,116862895175.34724,0.004548452086068815,90432241390.4965,0.004457936777490962,5462692891813.748,0.004587470166631779,4414269881106.412,0.0045622142594126044,3808392472840.1924,0.0044986611475808826,2270003424857.451,0.004385837864425196,1837534385432.411,0.004255667564365401
3925429389792.988,0.005173011162574499,2252240649134.7036,0.005221694877115445,1445604472531.0916,0.005128500903692706,874483695459.3154,0.005027530384724352,574522221969.9806,0.004912479253772611,342647786952.0292,0.004806401493818577,188044151063.66916,0.00466990949888449,119843465094.42482,0.004563722637116585,92777821488.94724,0.004461671026569792,5603316285497.106,0.004583318088120912,4526623924467.361,0.004554508491744386,3906272681407.592,0.004497497100545032,2328193672481.2173,0.004379739550050783,1884690723950.4128,0.004252595607413408
4025120271516.93,0.005205135481255246,2309483854863.472,0.005200303204487952,1482348652761.2202,0.005110241006143376,896652278274.1724,0.004994251295257474,589088007559.0519,0.004901469802629213,351305516643.83295,0.004789964686585119,192745954139.24576,0.0046718800173003675,122887485400.72556,0.004538994438191097,95147475948.18854,0.004447230125158856,5745113259819.551,0.004582238435911497,4641171471055.592,0.0045509346934259525,4005573474516.5195,0.0044925686200549255,2387270165468.265,0.004366014542556879,1932472481060.4287,0.0042595624356751485
