rei,a,cf,cfc,cfcrei,epsilon,epsilonc,eta,etac,fic,ficfn,foc,g,gc,gstd,jlamc,lambc,lambda,mu,muc,nuw,nuwc,nuwta,nuwtac,reic,reoc,rho,ta,tac,tempavg,tempavgstd,tempbot,tempmid,temptop,time,torque,torquestd,dr,drc,drgc,drt,drcf,drcfc,drcfrei
854747.3627944415,0.0,0.0254332284394792,0.02306868792696526,0.025433228439479198,2.1218037557515728,2.1218037557515728,3.4916612421415774e-05,3.621796765290674e-05,12.625126955126088,-12.637078640936425,0.0,2957412879.100505,2682460661.315649,186397797.2601373,2.0099166948488734e-05,0.0001319993162819195,0.00012571363455420907,1.4663487471078654e-06,1.539666184463259e-06,332.1839795073561,316.36569476891066,0.005054042814083867,0.004813374108651301,814045.1074232777,0.0,1031.9100728061892,1107563038974.9077,1004592325600.8232,19.9606361212378,0.04859970613083233,19.986379641390965,19.930684799448247,19.964843922874753,59.86436707946893,22.099389556138448,1.3928615880922204,-0.3742011039182813,4.405522758173042,8.95705575487935,-0.8663071262408506,-0.37404032842320856,8.957786550183034,-0.37404032842320856
865829.1733148864,0.0,0.025391835644917524,0.023031143442102064,0.02539183564491752,2.1909159782875043,2.1909159782875043,3.4595085514063865e-05,3.5884457317211387e-05,12.767583669904838,-12.779653536077245,0.0,3029666726.0340114,2747997030.416336,172271539.29606578,2.029226534513606e-05,0.00013052351661272022,0.0001243081110597335,1.463916978182781e-06,1.5371128270919201e-06,335.9432866428875,319.94598727894044,0.005058833320784381,0.0048179364959851255,824599.212680844,0.0,1031.8911992300723,1136471039625.1292,1030812734353.8584,20.026160133745922,0.03931801140473993,20.050122527509846,19.99178217110417,20.03657570262324,59.8816243756905,22.56401726091376,1.282995365933525,-0.43648461680374506,4.346205126853575,8.902413555638123,-0.4625785752825351,-0.4351753925559976,8.90233524484717,-0.43517539255597537
876910.9838353309,0.0,0.025369441302162298,0.023010831113072373,0.025369441302162298,2.2678353175725863,2.2678353175725863,3.427448313175849e-05,3.5551905963957566e-05,12.91885606033989,-12.930335678215911,0.0,3104989312.2483897,2816316836.506477,168228444.95739898,2.051340124580053e-05,0.0001289912049910085,0.00012284876665810332,1.4625353155992388e-06,1.535662081379201e-06,339.942598571173,323.75485578206946,0.005067240471914006,0.004825943306584767,835153.3179384103,0.0,1031.8801887754134,1165756331239.4348,1057375357133.274,20.06400582117177,0.03857181484989757,20.084381711523854,20.02345927592928,20.084176476062648,59.87870818895947,23.081706177113986,1.250555282321586,-0.6157610337195418,4.175465682171886,8.73917642106804,-0.08013673590618886,-0.6145450931101637,8.739641638902373,-0.6145450931101637
887992.7943557756,0.0,0.025351850603037056,0.022994875830419103,0.025351850603037056,2.3497804909237505,2.34978049092375,3.395936437863619e-05,3.522504261680172e-05,13.075630979614168,-13.086716869664716,0.0,3181792162.031236,2885979285.289102,176521507.45878246,2.075198326600583e-05,0.00012747469724909424,0.00012140447357056597,1.461810660887622e-06,1.5349011939320032e-06,344.0009061293257,327.61991059935787,0.005076461922305121,0.004834725640290589,845707.4231959769,0.0,1031.8765715835598,1195413143841.3567,1084274960400.3236,20.07921863962337,0.034902357092635145,20.08981956235593,20.048239207412255,20.099597149102237,59.86932970694697,23.62882207480809,1.310924755339663,-0.8097334576762538,3.9907300403083212,8.561493926932595,0.08907389264168897,-0.80890622930061,8.563350358910993,-0.80890622930061
899074.6048762205,0.0,0.02533173080799055,0.022976626583211382,0.025331730807990543,2.435754774821135,2.435754774821135,3.365140535050982e-05,3.4905605840275786e-05,13.236976960925936,-13.24830016601133,0.0,3259080077.236178,2956081702.708552,196468076.3208592,2.1005081197178287e-05,0.00012600445088467374,0.00012000423893778447,1.46160608450065e-06,1.5346863887256824e-06,348.01833241962504,331.44603087583334,0.005085039549353269,0.004842894808907875,856261.5284535431,0.0,1031.8767327138803,1225417054309.7842,1111489391664.2031,20.080972670373963,0.03415898011797814,20.075922386881555,20.07170785221241,20.095287772026715,59.86039537946214,24.19568405345409,1.4586197922402686,-0.9857091711773958,3.8231341226881987,8.403457886534616,0.09742483329951979,-0.9841158679040563,8.404430051787703,-0.984115867904034
910156.415396665,0.0,0.025337867319038768,0.022982192579627,0.025337867319038764,2.5284679470792564,2.5284679470792564,3.33407954913636e-05,3.458341943526443e-05,13.402307941291266,-13.41327999133346,0.0,3340610581.0721607,3030032273.081325,246497753.96731377,2.127086506974174e-05,0.00012443250857389695,0.000118507151022759,1.4618410613205366e-06,1.5349331143865638e-06,352.3925723068376,335.6119736255596,0.005098758823523079,0.004855960784307693,866815.6337111095,0.0,1031.8792604513628,1255773658018.728,1139023726094.0842,20.073128317670406,0.030609295073162988,20.04789090279628,20.100338132932187,20.07115591728136,59.87306398427632,24.808601888178156,1.8311542122129392,-1.2495808644029438,3.5718277481876837,8.170959470271178,-0.23672442715947373,-1.2456372843804298,8.167222417795516,-1.2456372843804298
921238.2259171099,0.0,0.025277222048340903,0.02292718553137496,0.0252772220483409,2.622791109368174,2.622791109368173,3.305905783152137e-05,3.429118130724622e-05,13.57785354421249,-13.589014915335113,0.0,3414245425.3087997,3096821247.445622,607779211.1871094,2.1569112145475835e-05,0.00012322468370811252,0.00011735684162677383,1.4631734774434246e-06,1.5363321513155956e-06,355.82896357838644,338.8847272175108,0.005098881015583683,0.004856077157698746,877369.738968676,0.0,1031.8920734968242,1286536898886.2715,1166926892413.8513,20.031914561587964,0.03069337341835647,20.018136628880786,20.036851279349825,20.040755776535,59.87022338253973,25.401893932919112,4.522529720390657,-1.216431798099138,3.6033982875246617,8.200905516917356,-0.5130059759580918,-1.2130115216601345,8.196814946340059,-1.2130115216601123
932320.0364375544,0.0,0.025226833080257128,0.022881481251933903,0.025226833080257128,2.7185773432265434,2.7185773432265425,3.278069160426845e-05,3.400244026637354e-05,13.750130949699187,-13.761415233637962,0.0,3489975387.063186,3165510555.1593533,548670103.7444669,2.185702863592281e-05,0.00012200550289103313,0.00011619571703907915,1.4641262367956375e-06,1.5373325486354198e-06,359.39107072048995,342.2772102099904,0.005100891208235008,0.004857991626890485,887923.8442262425,0.0,1031.8974695729357,1317702554464.56,1195195060738.83,20.010537184351627,0.03359144524360959,19.98992712645294,20.020605853326554,20.021078573273765,59.864676839653704,25.998927806515017,4.0872971218782785,-1.1964386083897383,3.6224394205812027,8.215793456202658,-0.526522632155535,-1.1944207529744677,8.213677321565104,-1.1944207529744677
943401.846957999,0.0,0.02529023445109501,0.02293898816425851,0.02529023445109501,2.8273767976919792,2.827376797691979,3.2471660159142644e-05,3.368189110346469e-05,13.919164685862631,-13.931052557191146,0.0,3582606733.7531548,3249529917.2364216,358074101.7202118,2.2134677329374773e-05,0.00012027870429247612,0.00011455114694521536,1.4647156518129454e-06,1.537951434403593e-06,364.5844855101012,347.22331953342984,0.005125826873118979,0.0048817398791609345,898477.9494838086,0.0,1031.8983457535287,1349229748373.6758,1223791154987.461,20.002603076674248,0.033774631141268815,19.97761129418445,20.0182589174116,20.01193901842611,59.85822524592351,26.710045689862884,2.6680380025599306,-1.6704488417672358,3.1710011030787855,7.782662035774301,-0.8468006290090591,-1.666241746324082,7.785721772041665,-1.666241746324082
954483.6574784437,0.0,0.02530736961060274,0.0229545302590501,0.02530736961060274,2.928868324367868,2.928868324367868,3.2183253253593416e-05,3.338273516445239e-05,14.081039977792912,-14.09309722206283,0.0,3669576000.7066064,3328413606.083089,238048981.46320084,2.2389558837936188e-05,0.00011880592046409905,0.00011314849568009434,1.4645480907509037e-06,1.537775495288449e-06,369.10747511876883,351.5309286845418,0.005141265872483935,0.004896443688079939,909032.0547413751,0.0,1031.89521964255,1381119018530.5325,1252715663066.2424,20.01104117191101,0.03184116734892619,19.985680698705185,20.02950727396809,20.017935543059465,59.865738921942246,27.35145512611004,1.7729782567404566,-1.976607947485176,2.879421002395066,7.507740998300283,-1.1636819331425574,-1.9749266314872838,7.505735481644205,-1.9749266314872838
965565.4679988886,0.0,0.025228048819056454,0.022882583962863,0.025228048819056454,3.0177321857163357,3.0177321857163357,3.1930774753027535e-05,3.312084669554293e-05,14.237194387416485,-14.249267023514891,0.0,3743438130.960901,3395408735.5654426,188406994.47807196,2.262623834843197e-05,0.00011781267515143942,0.00011220254776327566,1.4637960198394413e-06,1.5369858208314137e-06,372.2207041304698,354.49590869568567,0.0051369961577916725,0.004892377293134928,919586.1599989414,0.0,1031.8895496064013,1413363025518.0703,1281961927907.5466,20.030946898387636,0.03198969652713268,20.003883648456206,20.052097276211782,20.03685977049481,59.867536648824256,27.872863114511556,1.4023603154360316,-1.8707876422837888,2.9802022454439747,7.606165164718126,-1.420409982434312,-1.8688331090912946,7.601965433930779,-1.8688331090912946
976647.2785193331,0.0,0.025103794128330945,0.02276988129553827,0.025103794128330945,3.1032525382757985,3.1032525382757985,3.169758524952553e-05,3.2878966131847334e-05,14.394114132399087,-14.40530244408373,0.0,3810983207.911572,3456674111.4844184,184285839.84296057,2.286528235423467e-05,0.00011705081497464913,0.000111476966642523,1.4631366737154404e-06,1.5362935074012125e-06,374.6389621216813,356.7990115444584,0.005123379266036839,0.004879408824796989,930140.2652565077,0.0,1031.8867055860615,1445982030279.9329,1311548326784.5198,20.043827725103213,0.026227412692303043,20.019157458392762,20.05757851253664,20.054747204379197,59.86557122852785,28.350446285595694,1.3708302017819811,-1.5887066547635609,3.248850804987069,7.862542359687408,-1.4806140144210556,-1.5862493948914702,7.858277192842211,-1.5862493948914702
987729.089039778,0.0,0.02500212117204705,0.022677660927026805,0.02500212117204705,3.1935764239896742,3.193576423989674,3.146239754150713e-05,3.263501288980409e-05,14.55196019181625,-14.563253005867653,0.0,3882187087.32906,3521258129.096653,181034545.8602248,2.3107238405985306e-05,0.00011620979789071023,0.00011067599799115262,1.4625834694811057e-06,1.5357126429551608e-06,377.35691858066934,359.38754150539927,0.005114162386871952,0.004870630844639954,940694.3705140742,0.0,1031.8857552351103,1478976214562.2842,1341475024546.2888,20.051549461235524,0.0291474406097641,20.025206975420886,20.06544159522663,20.063999813060576,59.86596038978157,28.858973216791547,1.3457657780916632,-1.3991389287692835,3.429391496410239,8.034093278210042,-1.5023412559396654,-1.3964077919727869,8.030469122927164,-1.3964077919727869
998810.8995602226,0.0,0.02491362601725948,0.02259739321293376,0.02491362601725948,3.2896894405216517,3.2896894405216517,3.122826095320776e-05,3.239214994310577e-05,14.713589575867864,-14.725302290480919,0.0,3955766860.869672,3587997152.7162547,187309816.5071248,2.3361253686292803e-05,0.00011533073443435972,0.00010983879469939018,1.4624220196484297e-06,1.5355431206308512e-06,380.238041956941,362.13146853042014,0.005107432168829806,0.004864221113171243,951248.4757716408,0.0,1031.8848471786162,1512376510635.571,1371770077673.987,20.055158349873885,0.03109266349394793,20.02296583814518,20.069758751594122,20.07275045988391,59.86250776774562,29.39990086296824,1.3921116927665689,-1.2431124921822745,3.577988102683516,8.171065390765541,-1.5159289278660948,-1.2432629512604487,8.169376007927065,-1.2432629512604487
1009892.7100806672,0.0,0.024803306894962785,0.022497330516973044,0.02480330689496278,3.3851200114588837,3.3851200114588837,3.100533429392623e-05,3.216091472368118e-05,14.87648555769215,-14.887603466357973,0.0,4026063630.533952,3651758395.042133,215426120.99403343,2.361932740313175e-05,0.00011457374210188118,0.0001091178496208392,1.4623862556271953e-06,1.5355055684085552e-06,382.7513202952962,364.52506694790117,0.005096041191273547,0.004853372563117664,961802.5810292069,0.0,1031.8845032575077,1546123609237.3145,1402379690918.1987,20.0562645880996,0.0292996293010143,20.021733465174094,20.071104709513072,20.07595558961303,59.86668281167368,29.92138789714706,1.6010522516082846,-0.9993035601741695,3.810187085548411,8.392719752683442,-1.3686550516238682,-1.000154522219443,8.389882519528868,-1.0001545222194208
