time,pixels,source,diameter
798.9013684210527,343.7584145697489,p3 p4,110.86208869874402
802.0918684210526,343.5267769217637,p4,110.7873855572688
805.2823684210528,343.91275264391834,p4,110.91186272766366
808.4728684210527,343.92208701944685,p4,110.91487306377161
811.6633684210526,346.4443129180929,p4,111.72829091608497
814.8533684210527,345.09687518342287,p4,111.29374224665388
818.0438684210526,343.2955979084859,p4,110.7128303254867
821.2343684210527,343.9452665374247,p4,110.92234845831946
824.4243684210526,344.35352506955826,p4,111.05401183493254
827.6148684210527,343.35969616350536,p4,110.73350201273048
830.8053684210527,340.36084209380294,p4,109.76637157525145
833.9953684210527,340.6681444253188,p4,109.86547657716532
837.1858684210526,339.7400474537435,p4,109.56616530383228
840.3763684210526,335.8442065985361,p4,108.3097566280279
843.5663684210526,337.15054731116686,p4,108.73105150785132
846.7568684210526,337.52168793401796,p4,108.85074435872079
849.9473684210527,333.79643812275225,p4,107.6493512945876
853.1373684210528,333.536536642373,p4,107.56553306716529
856.3278684210527,335.56663686011706,p4,108.22024038738775
859.5183684210526,336.01450428690737,p4,108.36467763252763
862.7083684210527,335.1022011809907,p4,108.07045988086949
865.8988684210526,337.65204499247164,p4,108.8927845100721
869.0893684210528,339.3629989147289,p4,109.44456715000007
872.2798684210527,337.6423932163948,p4,108.88967181228732
875.4703684210526,340.860869715454,p4,109.92763048323391
878.6603684210527,339.76393831636625,p4,109.57387010702811
881.8508684210526,337.1177720933375,p4,108.72048150010136
885.0413684210528,335.6996034251276,p4,108.26312210460365
888.2313684210526,333.7210624606024,p4,107.62504264354428
891.4218684210527,332.47026510496624,p4,107.22166049635162
894.6123684210527,329.3147855142887,p4,106.2040183283581
897.8023684210527,328.80046973953216,p4,106.03815149099913
900.9928684210527,325.9773424245786,p4,105.12769293192659
904.1833684210526,324.58778718789176,p4,104.6795613680951
907.3733684210526,323.52463340552896,p4,104.33669427328309
910.5638684210526,320.6780027343352,p4,103.41865588182311
913.7543684210527,321.4287113245104,p4,103.66075940215461
916.9443684210528,323.130133088968,p4,104.20946792119219
920.1348684210527,323.33011086595457,p4,104.27396075427035
923.3253684210526,322.87763367999685,p4,104.12803686179899
926.5158684210526,321.7413016030918,p4,103.76156976699711
929.7063684210527,319.37727526754105,p4,102.999171273782
932.8963684210528,319.1661125699297,p4,102.93107130380233
936.0868684210527,320.66163182701445,p4,103.41337626421216
939.2773684210526,319.19215757838936,p4,102.93947081903057
