r,stdmax,stdmin,u,umax,umin,unorm
0.8150000000000001,0.3534221140790209,0.410178150185725,-4.797841960986701,0.2582626847161616,0.5097345051901789,0.38180013213237296
0.8250000000000001,0.35281147343419933,0.40911767869335464,-4.787342053759647,0.2634351374972261,0.482228187287751,0.380964576063777
0.835,0.350807289225816,0.4088749063834673,-4.773224009578177,0.25218806101688857,0.49155294553469303,0.37984109780464165
0.845,0.3496837893237246,0.4079865123524313,-4.760582907177947,0.25755079800008585,0.4916395125829543,0.37883515083807795
0.855,0.34886966408760023,0.406297552899445,-4.744855562236701,0.25285381925473244,0.4822708475123077,0.3775836084935226
0.865,0.34583066737916607,0.40435397176239,-4.713549102326045,0.24739190152541493,0.4753779014161952,0.37509231957077804
0.875,0.34481748708207216,0.40373897191374875,-4.70331894475692,0.2495542278240505,0.470426616088632,0.37427822949791045
0.885,0.3436398761345592,0.40335837866842544,-4.693528459066906,0.2443044622987114,0.4751149116408799,0.3734991274014923
0.895,0.34132230575601163,0.4014721658618342,-4.6671153103234735,0.24294562388723356,0.4863523805206187,0.3713972358089229
0.905,0.3385005372278527,0.3996863072512474,-4.638164735184344,0.24465018363975363,0.47828254525646685,0.36909342223955005
0.915,0.3346652613216694,0.39800496242311456,-4.603502784841207,0.2422376396031869,0.4931057683134697,0.366335111872392
0.925,0.3303094761529748,0.39568260821546697,-4.561542797632476,0.2337661396458963,0.47373402717226515,0.3629960421842209
0.935,0.3254177775451939,0.392253353660684,-4.509260706979725,0.20816167610007077,0.47979755844448857,0.35883556560293894
0.9450000000000001,0.31693606931730073,0.38794403369792135,-4.428892306588477,0.22309868999352667,0.48835323772621797,0.35244005150761104
0.9550000000000001,0.30855351111218654,0.38087397623248576,-4.331800658849785,0.21353447488146496,0.5020658342799609,0.34471374367233615
0.965,0.3025709275078137,0.37640232138911883,-4.266114741437195,0.19644480268475925,0.46643415909831987,0.3394866244484663
0.975,0.29454840188335585,0.37347082611467974,-4.197288598270707,0.2038348751256289,0.48888153268966034,0.3340096139990178
0.985,0.2626881823546136,0.35262436264083846,-3.8661227420387023,0.1736104743583108,0.41506167788462356,0.30765627249772604
0.995,0.24336965730494123,0.32506416284636014,-3.5715750268786204,0.20965420253168682,0.39956938245407675,0.2842169100756507
