fic,a0,a5,a10,a20,a30,a40,a50,a60,a65,a70,a75,a80,a90,a100
12.699906141205995,20.37574799715443,21.430230883505477,22.160815831038125,22.709206983856912,23.20265400198879,23.777800328398975,24.401363113974572,24.525431652974415,24.771361626860436,16.47351840863422,16.597391794723855,16.481549841345803,16.96162764028264,16.75375591071374
12.900578534031473,20.97485407407357,22.0387241846144,22.758835224850415,23.372772096118137,23.89321706878999,24.427896827498135,25.009885846330096,25.164700325073344,25.40344258948386,16.993285819682686,17.08508781474832,16.98453967036517,17.446175433350795,17.25640861944264
13.101275633042794,21.528542562151355,22.67975825434955,23.373360694598837,24.043981118410468,24.526985051328847,25.066532853316147,25.690394144238414,25.868641404130774,26.068062088898913,17.452348209415312,17.571330752331345,17.496775866332307,17.892998765718982,17.748415016824772
13.300716236933802,22.144896511980047,23.323813413732747,24.055022058807573,24.72457023574371,25.266292192842553,25.857849196426216,26.47443573007597,26.619176059263182,26.79172809863026,17.989041913989357,18.113229654129864,17.95266754941309,18.40089436601792,18.20965674183299
13.5003787228149,22.792661543852574,23.977343945917298,24.714884728023637,25.421165611578303,25.92802581251187,26.465151190820574,27.113519763249723,27.282163501253148,27.417439086319543,18.518245226970457,18.696726414582074,18.555073754853495,19.035076703326173,18.786645615859655
13.701161060711769,23.437395585038054,24.633831296354945,25.356295556970267,26.067916524572695,26.59337075414335,27.200958771576875,27.81435911067602,28.027476654470718,28.137132075500713,19.003251382625034,19.234040762827952,19.049027154413533,19.528992908849176,19.276027126657674
13.901306520836307,24.04931443487543,25.302243411875637,26.01853770113016,26.716853519811373,27.33758392339916,27.8899508918201,28.532172151447703,28.756199334818835,28.84197362183781,19.51033497204729,19.77385408168941,19.61665425070703,20.060005304236885,19.81578246793422
14.101009870707598,24.674789702701837,25.930445343190517,26.717263183092925,27.42616043545952,27.987072937431332,28.618877180417,29.33239843687075,29.48987471473922,29.639725111310515,20.038571248448143,20.272537852261568,20.15046143419599,20.607147659422857,20.378492815445224
14.301489300013762,25.325855640341864,26.596523852423932,27.347159164275357,28.085742273801845,28.750792545413113,29.35791682017613,30.0430474155208,30.294251675078822,30.329645305661433,20.606702469458835,20.802603437622004,20.701379301414992,21.16762865816361,20.878048214039843
14.500983038968347,25.96315056328714,27.22728995239367,28.00967836801551,28.804202370034684,29.38816679404484,30.042471676451328,30.837913909850123,31.05111357819057,31.220274035476535,21.123187993535954,21.313880831622456,21.196748211091496,21.694472626313168,21.357388775679574
14.699398331015278,26.586088765153917,27.927287100758672,28.700508518651652,29.53208474197524,30.11587013983662,30.731111455999574,31.534793615117124,31.886520018330028,31.951503833863164,21.640027881830648,21.884683075123498,21.766499419322347,22.238164981803468,21.918867929533114
14.901126846100793,27.221331451786543,28.58859025646548,29.433670029201686,30.162151984580106,30.8070302055129,31.537884477565605,32.309845065265165,32.6028377057688,32.74129619596617,22.127724529634218,22.47604352994728,22.304857985177907,22.82733486312919,22.49580093883083
15.101527366657324,27.87092111615965,29.237648911341818,30.027082851698285,30.821429682459943,31.485957817558468,32.20185232398604,33.091969850914104,33.46592604393245,33.49272645966287,22.6572771659084,23.058435126454714,22.85357814374273,23.412649471824533,23.042596360659537
15.299371128241143,28.553426408069313,29.976664915978493,30.71747023838127,31.537127409129177,32.252936665280465,32.91442697641271,33.97373168727444,34.29038919069537,34.278443610507026,23.189882612941073,23.552165189405596,23.479729056046292,23.93215628417514,23.569942522716822
